id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Cornelius;Tremblay;Simeon2@hotmail.com;deposit wireless;2023-02-21T00:13:57;22493;95473
2;Nikki;Schinner;Esperanza.Funk63@yahoo.com;up;2023-02-20T22:28:41;21508;84233
3;Tony;Tromp;Annamae.Bins17@hotmail.com;aperiam West Convertible;2023-02-20T11:29:46;28896;61182
4;Darwin;Pollich;Shawn_Bosco17@gmail.com;ubiquitous Beauty productivity;2023-02-20T18:19:11;54147;27778
5;Torrey;Lockman;Clemens16@gmail.com;enlighten orchestration transmitting;2023-02-21T02:43:57;27805;18242
6;Dortha;Kohler;Colleen.Fadel@gmail.com;efficient tomorrow;2023-02-21T01:57:03;11207;6850
7;Davin;Schultz;Jackson65@hotmail.com;Polestar;2023-02-20T16:17:54;92543;45012
8;Kyleigh;Shields;Americo.Tromp33@gmail.com;Senior auxiliary;2023-02-21T00:07:03;8979;63659
9;Katharina;Klein;Megane.Kautzer@hotmail.com;Cab open matrix;2023-02-21T03:42:21;70480;43045
10;Rhett;Anderson;Dax75@yahoo.com;wherever male;2023-02-20T17:36:07;1195;39666
